UN_Region,Year,Population,E_Waste_kg_per_capita,Total_E_Waste_metric_tons,Recycling_Rate_percent,Formal_Collection_Rate_percent,Informal_Processing_percent,Hazardous_Content_percent,Landfill_Rate_percent,Export_Rate_percent,E_Waste_Policy_Index,GDP_per_capita_USD,Urbanization_Rate_percent
Western Asia,2024,104857877,17.2,1803555.48,60.52,55.47,58.07,16.98,53.54,27.22,0.2,65735.65,53.59
Europe,2024,128846847,-23.16,2984092.98,,5.31,55.15,26.87,33.05,12.62,0.519,33226.85,
Oceania,2023,232788902,2.17,505151.92,11.99,6.12,94.44,24.74,22.56,12.61,0.211,33985.4,33.1
Oceania,2021,143818431,29.45,4235452.79,17.52,5.97,48.37,24.34,9.4,18.34,0.824,34154.8,63.24
Latin America and the Caribbean,2021,10812338,3.14,33950.74,31.62,30.11,61.77,21.07,44.78,7.21,0.165,29264.47,86.66
Eastern Asia,2020,41380102,15.56,643874.39,78.99,14.03,68.02,34.18,61.37,3.12,0.676,49185.91,69.12
Western Asia,2024,248403943,4.31,1070620.99,26.09,9.27,39.86,15.55,67,3.6,0.625,35614.94,
Central Asia,2024,6437423,26.31,169368.6,27.44,3.5,91.81,35.93,23,18.32,0.109,7927.45,84.51
Western Asia,2024,152465092,15.68,2390652.64,53.48,3.36,6.27,29.7,15.34,31.85,0.395,37817.88,65.6
Sub-Saharan Africa,2021,38865904,26.05,1012456.8,57.17,15.62,77.46,14.04,15.76,21.44,0.239,56529.89,44.01
Oceania,2020,118785006,18.94,2249788.01,77.56,74.46,55.15,21.25,45.31,11.59,0.1,4847.61,90.95
Eastern Asia,2024,154982053,3.45,534688.08,28.54,14.52,28.71,34.32,13.52,21.43,0.988,,33.44
Latin America and the Caribbean,2024,1351711,23.54,31819.28,31.75,11.11,38.9,27.08,41.68,6.47,0.106,59331.11,81.36
Eastern Asia,2023,6944321,15.9,110414.7,39.09,14.03,91.68,25.53,57.26,30.02,0.922,24618.77,43.2
Sub Saharan Africa,2024,140903715,20.91,2946296.68,66.83,22.79,74.47,14.24,41.32,8.37,0.759,65959.4,23.74
Northern America,2021,9411372,6.14,57785.82,27.74,22.28,52.29,11.02,68.87,21.56,0.059,53062.92,46.4
Northern America,2023,46841447,21.33,999128.06,,3.09,5.23,13.39,53.58,31.21,0.957,76522.13,54.68
Latin America and the Caribbean,2022,195676880,3.07,600728.02,48.72,42.41,56.76,15.27,38.17,26.49,0.11,65459.38,28.9
Central Asia,2022,147357408,12.18,1794813.23,69.28,16.4,92.94,36.54,28.21,11.26,0.127,66311.75,38.68
Oceania,2021,138266349,24.28,3357106.95,,21.28,31.84,18.54,67.78,15.15,0.884,52028.97,86.25
Sub-Saharan Africa,2021,172582007,5.76,994072.36,55.32,14.43,80.68,23.63,59.94,0.78,0.037,3586.68,76.52
Northern America,2021,195630099,8.8,1721544.87,42.21,20.06,40.28,13.66,39.17,15.62,0.663,44178.34,17.29
Northern America,2020,138086710,23.81,3287844.57,5.26,3.25,54.68,24.35,13.13,32.86,0.775,28459.84,78.21
Sub-Saharan Africa,2022,135996587,20.66,2809689.49,20.36,11.25,96.74,10.95,14.86,10.45,0.942,72752.92,28.45
Central Asia,2023,188336918,14.03,2642366.96,,5.91,12.21,36.51,41.05,19.34,0.38,2840.49,70.42
Eastern Asia,2020,155211611,9.37,1454332.8,33.41,32.02,46.11,30.55,26.85,34.86,0.659,16082.75,23.15
Europe,2020,25397886,12,304774.63,13.33,12.21,43.76,32.57,35.13,8.6,0.426,73827.13,97.89
Eastern Asia,2024,165134687,5.24,865305.76,81.21,66.24,16.48,16.21,47.61,26.76,0.81,13485.35,96.68
South-Eastern Asia,2020,174096048,21.81,3797034.81,27.64,18.18,44.48,39.67,52.01,29.99,0.462,9922.26,33.59
Southern Asia,2023,129824121,15.96,2071992.97,31.27,13.4,80.38,21.47,55.06,15.42,0.844,6558.22,54.93
Oceania,2022,127056040,13.82,1755914.47,71.41,14.89,38.92,33.89,39.61,15.18,0.461,68450.41,21.22
Northern America,2022,61001908,15.33,935159.25,74.63,74.33,21.98,28.35,60.09,33.08,0.29,58299.9,16.25
Northern Africa,2020,18791635,-20.73,389550.59,68.5,11.85,37.06,30.24,45.91,23.27,0.212,75467.85,86.43
Southern Asia,2023,67746412,19.39,1313602.93,8.49,6.76,19.61,10.82,40.81,28.47,0.86,8729.91,70.03
Southern Asia,2021,97959848,11.4,1116742.27,69.13,66.78,5.46,23.79,22.39,18.87,0.753,74001.04,41.54
Eastern Asia,2020,20221694,22.93,463683.44,21.77,7.73,52.39,33.07,45.22,17.55,0.597,,59.58
Eastern Asia,2022,98722281,19.72,1946803.38,71.9,16.36,33.72,25.43,14.53,9.53,0.351,64182.07,34.3
Eastern Asia,2020,211314863,23.71,5010275.4,51.87,43.83,43.09,28.75,41.04,34.15,0.755,43812.65,29.44
Central Asia,2021,126044625,3.07,386957,47.26,4.24,44.22,39.82,27.06,28.85,0.153,,62.15
Western Asia,2023,34779103,29.66,1031548.19,71.83,64.91,51.37,13.43,8.42,11.57,0.92,75832.76,84.82
Latin America and the Caribbean,2022,145650820,5.29,770492.84,81.89,9.63,20.94,30.33,43.72,12.39,0.447,76193.35,65.09
Northern America,2020,137765076,10.69,1472708.66,35.98,21.33,1.41,35.43,64.92,19.27,0.268,79224,
Western Asia,2020,27437240,3.03,83134.84,30.52,28,39,32.9,33.1,20.1,0.368,9911.88,78.98
Sub-Saharan Africa,2020,90542650,13.01,1177959.88,57.27,22.4,44.55,32.27,57.02,33.61,0.022,77806.3,29.38
Sub-Saharan Africa,2022,198393364,28.36,5626435.8,45.26,17.74,64.7,17.49,19.93,6.87,0.96,39686.64,77.38
Southern Asia,2022,157731449,13.27,2093096.33,,32.57,94.7,17.42,51.68,9.94,0.941,36164.05,76.79
South-Eastern Asia,2024,208552888,24,5005269.31,,11.69,52.75,27.89,31.33,22.73,0.871,54077.91,95.52
Europe,2022,59507119,13.2,785493.97,28.7,18.68,17.77,20.22,56.72,28.6,0.652,71258.53,18.79
Latin America and the Caribbean,2024,62879917,8.53,536365.69,6.58,4.31,61.99,19.88,24.97,26.29,0.759,57641.88,23.4
Central Asia,2020,70432281,2.44,171854.77,75.05,32.54,86.21,14.3,26.71,34.37,0.604,49857.7,88.89
Sub-Saharan Africa,2023,223753026,7.15,1599834.14,11.53,3.69,84.58,21.51,8.95,31.37,0.223,21815.89,31.14
Eastern Asia,2020,129853595,4.66,605117.75,58.95,37.04,38.57,14.78,37.1,6.26,0.123,69717.62,58.12
Latin America and the Caribbean,2021,29340635,21.44,629063.21,,58.43,52.03,24.96,34.49,0.76,0.535,34126.37,28.08
Latin America and the Caribbean,2022,243965008,12.95,3159346.85,19.38,8.97,20.56,19.28,52.18,31.47,0.264,65892.7,22.74
Northern Africa,2024,72297386,24.99,1806711.68,41.71,3.57,16.32,32.2,52.99,26.41,0.352,28506.02,81.57
Latin America and the Caribbean,2024,100376453,13.79,1384191.29,46.7,44.1,44.82,20.21,17.57,26.78,0.538,67078.66,69.19
Europe,2023,7950004,11.82,93969.05,32.45,21.77,1.27,32.9,32.07,15.13,0.481,36212.39,56.29
Northern America,2022,144470427,19.96,2883629.72,44.28,40.45,15.94,25.06,47.67,33.03,0.015,22578.2,18.39
Europe,2021,247671511,13.33,3301461.24,71.12,25.22,48.32,10.74,25.07,22.39,0.315,16860.9,39.12
Sub-Saharan Africa,2022,73491759,29.79,2189319.5,34.52,11.77,55.4,19.43,58.62,32.19,0.704,59439.91,49.27
Central Asia,2020,33653542,10.26,345285.34,11.55,7.23,28.89,29.2,37.5,1.26,0.319,39380.21,62.49
South-Eastern Asia,2020,182983297,24.5,4483090.78,74.31,33.16,47.73,21.96,9.8,9.72,0.376,16466.85,65.76
Western Asia,2022,39400660,20.08,791165.25,73.71,46.68,39.77,23.42,61.76,12.3,0.065,35692.47,97.87
Western Asia,2024,21499271,23.95,514907.54,41.3,18.26,98.2,12.4,32.65,33.11,0.721,36233.84,37.99
Northern Africa,2024,2612027,16.86,44038.78,59.21,20.27,66.94,18.83,63.64,30.82,0.071,12457,72.94
Latin America and the Caribbean,2021,1515824,22.97,34818.48,24.87,8.52,49.75,21.91,22.23,11.76,0.219,31575.1,37.18
Sub-Saharan Africa,2024,10337355,2.65,27393.99,45.83,23.02,38.9,14.25,8.07,34.64,0.787,35464.81,70.72
Central Asia,2020,205921850,27.82,5728745.87,25.29,25.21,73.81,17.52,69.47,30.4,0.165,15233.09,71.46
Central Asia,2020,68775645,21.91,1506874.38,,21.23,92.52,30.39,31.67,10.23,0.834,15878.44,78.21
Northern America,2023,179768935,3.51,630988.96,8.86,6.98,5.5,25.64,22.29,6.57,0.573,24068.83,52.88
Northern America,2024,61017157,26.74,1631598.78,63.3,39.33,70.63,18.59,32.49,11.51,0.925,79791.47,86.77
South-Eastern Asia,2020,234023296,26.11,6110348.26,66.37,38.37,15.68,21.74,51.76,13.07,0.039,46918.77,74.77
Oceania,2022,118130148,20.13,2377959.88,26.84,21.04,43.26,36.47,11.06,4.31,0.01,1900.18,15.96
Europe,2022,9620049,27.97,269072.77,52.85,51.59,86.74,30.21,63.46,34.69,0.221,55438.99,91.26
Sub-Saharan Africa,2020,75733111,28.44,2153849.68,59.05,48.45,39.17,24.52,58.47,5.3,0.742,31339.63,
Europe ,2023,110429258,7.81,862452.5,59.92,29.87,53.14,15.7,21.46,27.64,0.278,66346.07,86.86
Eastern Asia,2020,192397116,12.16,2339548.93,44.51,3.81,0.77,30.59,11.53,2.58,0.496,57593.67,96.1
Western Asia,2020,195979933,15.59,3055327.16,42.36,26.41,23.17,32.37,24.37,9.6,0.848,31936.76,22.84
Northern Africa,2022,51923221,10.5,545193.82,61.81,45.86,2.56,38.85,14.04,25.11,0.379,69523.69,97.58
Southern Asia,2021,26009461,14.57,378957.85,25.1,5.68,98.87,11.72,25.96,23.1,0.745,76508.29,51.4
Europe,2021,188472002,2.22,418407.84,81.37,31.09,48.83,37.72,55.44,8.51,0.097,67377.49,77.01
Northern America,2023,197878817,8.48,1678012.37,49.37,10.36,72.42,27.21,65.34,27.88,0.652,31748.7,92.45
Southern Asia,2024,88092545,20.01,1762731.83,23.99,14.08,67.71,22.48,9.12,21.09,0.91,29701.78,46.84
South-Eastern Asia,2023,59618953,11.21,668328.46,46.59,11.21,0.38,37,51.13,18.51,0.054,33956.79,46.54
Northern America,2024,200917828,5.27,1058836.95,78.68,39.62,65.44,12.66,20.95,7.14,0.092,72037.24,42.78
Oceania,2020,94196174,18.67,1758642.57,15.69,9.14,97.21,22.83,20.79,32.46,0.611,58364.65,60.1
Southern Asia,2021,49112279,11.38,558897.74,74.58,28.22,50,33.31,68.93,9.76,0.102,,56.4
Central Asia,2023,152184991,15.47,2354301.81,27.16,23.22,34.71,12.45,5.66,30.12,0.859,74760.05,21.02
Southern Asia,2024,85862783,2.19,188039.49,24.61,15.33,13.56,30.75,25.41,7.48,0.94,18132.29,29.79
Oceania,2021,114710184,21.59,2476592.87,68.56,65.5,30.86,26.46,14.54,15.29,0.261,28229.61,81.68
Western Asia,2022,229619914,20.03,4599286.88,55.69,6.93,76.47,17.01,60.35,24.83,0.767,73278.49,40.06
Southern Asia,2024,215445150,5.23,1126778.13,,32.72,24.88,10.65,57.6,29.72,0.537,71497.25,29.86
Latin America and the Caribbean,2022,106950930,17.68,1890892.44,81.57,26.52,67.07,16.85,30.9,1.99,0.319,4275.28,20.78
Central Asia,2022,102154997,12.97,1324950.31,29.7,18.34,97.25,31.75,56.35,26.9,0.957,65387.28,37.27
South-Eastern Asia,2021,189124084,21.14,3998083.14,30.04,16.39,46.69,38.35,69.46,0.31,0.628,35900.66,15.61
Latin America and the Caribbean,2023,192708850,14.93,2877143.13,10.9,10.76,14,34.2,67.28,24.89,0.089,47403.81,25.72
Sub-Saharan Africa,2021,234861097,21.28,4997844.14,74.48,72.45,26.29,32.59,39.09,8.92,0.042,23797.65,47.56
Southern Asia,2023,32111453,24.29,779987.19,33.51,32.68,91.82,12.34,60.41,23.58,0.055,76451.61,84.18
Northern America,2022,87689447,21.33,1870415.9,44.66,10.48,96.45,32.98,9.46,14.76,0.108,61922.97,76.48
Europe,2023,235934307,4.38,1033392.26,14.94,7.45,39.94,32.58,46.97,25,0.764,61462.06,25.18
Northern Africa,2024,40941064,17.64,722200.37,15.68,13.52,73.8,11.12,57.32,30.28,0.512,30598.21,21.93
Southern Asia,2022,68757293,29.03,1996024.22,38.74,36.07,81.47,28.93,27.15,27.11,0.525,unknown,50.69
Sub Saharan Africa,2021,134775698,10.57,1424579.13,44.23,14.27,45.58,33.06,45.66,23.82,0.892,4708.68,
Northern Africa,2023,158599294,11.04,1750936.21,47.78,30.99,62.07,31.62,35.05,34.53,0.183,3649.62,45.42
Central Asia,2020,166417728,2.95,490932.3,,37.33,40.54,10.1,16.37,33.2,0.245,68344.16,45.74
Sub-Saharan Africa,2020,92469163,28.03,2591910.64,11.25,5.11,5.56,14.57,15.33,11.77,0.703,23742.72,62.82
Northern America,2021,167967356,4.96,833118.09,27.28,8.07,74.49,38.07,32.6,22.16,0.031,10953.26,46.91
Western Asia,2021,170187636,13.3,2263495.56,16.66,14.53,18.58,14.1,20.15,12.8,0.813,73185.96,61.18
Northern America,2024,201212521,14.08,2833072.3,,4.31,85.61,28.67,17.6,6.62,0.35,49416.07,
Southern Asia,2022,117113915,16.77,1964000.35,64.19,48.57,75.54,10.72,5.73,34.46,0.741,66231.1,25.89
Northern America,2020,28910196,9.61,277826.98,83.3,74.14,19.93,18.11,63.32,3.82,0.188,,27.2
Southern Asia,2022,44143681,2.43,107269.14,75.32,56.34,13,23.22,12.9,20.28,0.898,77458.1,53.93
Oceania,2024,71149434,5.85,416224.19,9.94,5.68,12.97,12.39,43.27,6.44,0.301,58462.54,22.72
Northern America,2023,243529226,5.81,1414904.8,44.18,24.15,31.2,27.89,24.94,9.87,0.874,32827.59,57.26
Latin America and the Caribbean,2020,236324724,15.35,3627584.51,60.06,45.12,63.6,15.84,61.43,10.1,0.37,unknown,86.33
Sub-Saharan Africa,2024,106872273,26.64,2847077.35,41.86,38.4,1.65,26.43,23.99,7.66,0.436,79712.21,37.23
Latin America and the Caribbean,2022,227433814,4.58,1041646.87,84.96,62.35,62.24,36.19,26.15,23.34,0.468,10354.01,59.91
Latin America and the Caribbean,2023,30676010,22.82,700026.55,74.9,58.32,67.56,16.81,7.82,8.21,0.311,38788.38,50.81
Southern Asia,2024,237454903,13.38,3177146.6,31.68,4.98,0.97,17.36,21.55,25.54,0.157,55547.52,75.62
Northern Africa,2022,96421952,26.08,2514684.51,9.01,5.35,26.12,21.4,8.43,24.02,0.941,24995.11,90.22
South-Eastern Asia,2024,168910035,27.78,4692320.77,16.33,10.78,28.21,16.68,53,14.46,0.438,67629.9,34.81
Europe,2024,122729572,17.3,2123221.6,63.5,34.62,90.3,23.31,21.25,10.87,0.804,66903.15,74.81
Europe,2024,49547290,23.69,1173775.3,150,28.08,84.04,38.37,40.43,11.06,0.39,69314.96,34.95
Western Asia,2024,36495339,3.76,137222.47,21.13,12.72,88.08,13.1,69.78,33.51,0.102,72970.56,96.98
Latin America and the Caribbean,2022,72053962,20.98,1511692.12,15.68,8.93,42.92,13.06,5.74,0.57,0.737,36072.75,55.72
Central Asia,2024,16275520,3.89,63311.77,25.79,12.22,57.2,23.2,34.32,15.48,0.815,16066.63,89.44
Central Asia,2022,128796824,18.61,2396908.89,80.02,9.93,80.92,28.39,46.6,34.73,0.321,29134.94,59.48
Central Asia,2023,1360096,27.5,37402.64,77.58,18.92,10.72,29.58,48.74,11.31,0.987,13112.5,30.93
Western Asia,2024,34807407,20.79,723645.99,29.76,13.89,25.58,26.03,61.52,8.39,0.53,53367.79,15.55
Western Asia,2021,13767915,11.41,157091.91,54.01,37.28,52.38,39.61,67.42,28.11,0.772,12265.71,22.58
Oceania,2023,137872835,4.83,665925.79,75.46,38.82,67.15,21.7,55.72,28.85,0.893,51520.7,89.05
Eastern Asia,2023,234444785,29.28,6864543.3,9.98,9.1,52.64,15.15,42.23,24.49,0.612,74069.45,68.32
Eastern Asia,2023,194923274,10.78,2101272.89,61.77,51.15,12.43,22.43,18.43,26.13,0.406,510.81,36.8
Northern America,2023,N/A,27.51,1894640.82,33.77,28.11,18.46,39.14,30.2,20.62,0.201,,33.31
Northern Africa,2024,215344202,6.15,1324366.84,28.92,9.15,92.76,18.38,16.01,15.93,0.612,13101.72,17.03
Eastern Asia,2024,139577200,6.66,929584.15,68.92,17.48,77.03,15.22,51.9,31.26,0.178,54139.34,58.97
Oceania,2020,93514552,29.28,2738106.08,12.83,11.63,17.57,32.42,69.7,8.11,0.742,62045.52,38.32
Oceania,2024,199558355,25.29,5046830.8,58.24,10.26,29.04,37.8,68.19,25.96,0.061,68424.23,29.32
South-Eastern Asia,2022,236000602,19.1,4507611.5,22.46,4.45,70.18,29,36.35,31.34,0.977,58725.33,94.87
South-Eastern Asia,2020,96110373,6.45,619911.91,45.3,25.67,84.92,17.67,22.67,14.57,0.01,7927.31,72.79
Northern Africa,2023,24252179,28.58,693127.28,15.02,12.71,23.53,28.56,55.46,24.54,0.44,74462.68,28.43
Western Asia,2020,140621853,29.47,4144126.01,15.93,13.1,59.8,36.66,25.03,4.3,0.979,,53.73
Europe ,2024,102571149,18.85,1933466.16,78.09,45.82,86.9,22.65,47.46,6.7,0.712,74256.49,50.46
Sub-Saharan Africa,2024,96732889,11.61,1123068.84,33.71,32.1,16.01,34.14,65,2.47,0.814,39696.96,20.29
Southern Asia,2024,191596540,10.27,1967696.47,21.39,6.18,72.63,26.4,50.24,10.16,0.4,71700.78,42.42
Northern Africa,2023,121040620,-19.19,2322769.5,38.19,4.91,76.42,24.37,32.64,25.98,0.419,19587.55,20.03
Latin America and the Caribbean,2020,241170781,23.77,5732629.46,48.43,18.1,93.53,39.28,16.86,34.24,0.588,70091,39.19
Western Asia,2023,201178706,27.83,5598803.39,6.04,3.56,21.15,39.54,24.11,30.38,0.93,46744.42,46.35
South-Eastern Asia,2023,162428721,27.31,4435928.37,83.54,3.29,43.11,30.28,44.94,34.62,0.66,49586.97,91.89
Europe,2024,117455597,17.32,2034330.94,27.23,3.11,90.88,28.57,60.34,18.54,0.465,52112.52,26.7
Eastern Asia,2023,224488249,5.66,1270603.49,42.7,29.39,59.75,28.32,11.02,17.2,0.202,56998.9,
Central Asia,2022,165400832,4.35,719493.62,45.66,20.78,28.59,29.66,11.79,28.38,0.618,78832.16,41.08
Latin America and the Caribbean,2022,106583634,13.26,1413298.99,70.92,60.87,10.82,19.92,44.86,7.94,0.919,56677.35,33.28
Oceania,2023,190763747,14.74,2811857.63,81.62,57.11,2.62,19.14,35.68,29.99,0.216,3211.77,69.63
South-Eastern Asia,2021,214799334,13.76,2955638.84,28.62,21.33,79.22,34.79,55.05,24.16,0.193,58666.21,37.8
Europe,2020,148392624,29.59,4390937.74,45.45,43.16,81.12,38.44,35.21,11.55,0.46,40519.68,31.09
Eastern Asia,2024,118957964,5.6,666164.6,17.93,7.84,64.37,27.99,55.39,18.63,0.676,3988.76,92.46
Europe,2020,145684816,5.13,747363.11,78.52,52.62,69.46,10.61,28.3,19.49,0.069,13637.89,75.61
Eastern Asia,2022,234856285,17.89,4201578.94,11.65,8.47,9.7,10.84,60.58,8.7,0.465,75067.89,66.91
South-Eastern Asia,2023,5369987,25.85,138814.16,22.17,12.36,56.57,27.57,6.14,13.19,0.515,36898.85,
Oceania,2024,153218465,19.17,2937197.97,43.58,13.25,19.44,23.27,68.57,30.51,0.627,55906.96,25.81
Sub-Saharan Africa,2020,152244835,10.79,1642721.77,22.69,8.1,89.63,28.15,47.23,7.6,0.36,64933.4,43.23
Latin America and the Caribbean,2024,1647077,-6.08,10014.23,46.67,34.84,13.76,33.86,10.5,34.59,0.649,70494.66,38.76
Sub-Saharan Africa,2024,113614749,25.69,2918762.9,55.51,36.8,37.61,11.6,33.03,5.51,0.935,70344.33,39.98
Western Asia,2024,75421316,9.2,693876.11,42.54,18.69,70.68,29.42,25.94,11.56,0.765,61656.87,91.46
Northern America,2022,105598332,24.4,2576599.3,37.99,18.37,30.39,16.89,15.4,14.27,0.538,72124.69,48.36
Eastern Asia,2021,40742504,5.87,239158.5,67.71,20.72,5.17,19.63,35.59,13.45,0.183,49200.62,31.99
Central Asia,2021,73280435,10.87,796558.33,,16.2,17.4,23.83,22.83,30.47,0.436,54949.31,82.91
Northern America,2020,95686718,18.65,1784557.29,39.94,16.53,36.5,39.28,58.69,6.97,0.57,48886.33,33.28
Europe ,2022,4055589,3.24,13140.11,14.33,12.94,45.18,24.01,19.51,17.09,0.439,57808.15,67.75
Latin America and the Caribbean,2020,211389843,27.72,5859726.45,30.26,26.67,64.81,27.64,9.96,29.48,0.651,27680.06,64.65
Europe,2024,114538243,6.49,743353.2,6.91,3.99,79.33,18.92,61.75,20.26,0.805,79949.33,68.17
Europe ,2023,122889496,15.1,1855631.39,40.94,24.56,75.93,12.43,19.11,34.68,0.75,57176.08,26.01
Western Asia,2022,181836441,15.02,2731183.34,71.21,37.82,34.41,35.83,42.54,17.65,0.486,54678.78,52.79
Central Asia,2024,20842040,12.33,256982.35,13.78,10.95,51.96,10.67,11.12,9.34,0.986,4843.6,55.44
Sub-Saharan Africa,2024,8096147,18.4,148969.1,18.37,5.1,90.63,35.94,63.35,17.27,0.07,25159.88,88.16
Latin America and the Caribbean,2020,205028878,3.66,750405.69,66.16,58.05,96.72,29.31,12.03,7.24,0.01,50260.13,34.27
Oceania,2021,177888148,28.48,5066254.46,81.52,11.08,7.38,22.49,54.66,28.91,0.021,23022.54,59.43
South-Eastern Asia,2020,44360379,17.93,795381.6,50.03,48.47,29.77,23.24,68.82,7.93,0.901,16456.42,53.52
Latin America and the Caribbean,2024,131780555,11.06,1457492.94,78.89,50,40.96,33.15,39.79,7.63,0.238,22378.67,16.33
Northern America,2022,25968818,20.43,530542.95,21.78,10.04,8.48,22.67,6.29,34.75,0.984,41928.35,24.88
Oceania,2024,22990547,11.08,254735.26,19.21,5.06,50.97,12.12,51.14,11.97,0.993,5496.85,19.03
Europe,2020,8769746,26.21,229855.04,12.43,9.48,17.37,25.89,30.7,28.61,0.135,59493.29,35.79
South-Eastern Asia,2024,128960048,12.21,1574602.19,10.41,9.34,83.41,24.89,35.29,4.16,0.126,63921.81,85.88
Northern Africa,2020,25401969,4.57,116087,35.99,11.04,74.65,20.15,63.56,30.46,0.68,36977.36,48.81
Eastern Asia,2020,173734608,13.2,2293296.83,61.16,41.66,78.37,37.42,22.16,18.45,0.14,77639.75,77.86
Central Asia,2024,53781488,22.72,1221915.41,68.91,11.99,49.92,34.68,27.57,1.77,0.344,62667.36,23.33
Southern Asia,2021,177451870,22.47,3987343.52,73.17,24.97,12.44,11.16,38.26,6.8,0.825,22800.86,47.74
Western Asia,2023,76124198,9.47,720896.16,72.2,11.79,76.38,37.88,41.45,30.91,0.248,57964.33,79.75
Northern America,2020,215725588,28.47,6141707.49,77.74,34.09,70.37,20.07,40.09,8.65,0.718,7676.57,76.13
Latin America and the Caribbean,2022,172161418,23.89,4112936.28,52.16,12.6,47.12,10.7,6.16,25.72,0.172,77494.33,44.73
